difficulty_level,mean_latency_s,n,p50_latency_s,p95_latency_s,system
1,5.221537258000201,3,5.074429336000321,5.609766893200321,direct_llm
1,6.262299254333811,3,6.201697750000676,6.416544183100723,rulekit
